,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
112,632.0,632.0,891.5,980.5507246376811,2096.5,1749.3674080410606,1671.3984962406014,1994-05-01
113,539.5,539.5,818.5,904.0328638497654,1938.5,2060.247474747475,1502.795673076923,1994-06-01
114,610.0,610.0,911.5,1013.5,2016.5,2155.0,1533.5,1994-07-01
115,630.6176470588235,630.6176470588235,882.6326530612246,1041.7257085020242,1998.0,2029.6666666666667,1551.0,1994-08-01
116,786.0,786.0,1048.5,1231.5,2129.0,2093.3346153846155,1653.5,1994-09-01
117,541.0,541.0,672.7726396917149,769.5,1562.0,1443.5,1194.5,1994-10-01
118,422.5,422.5,582.4281759458629,636.7063711911356,1400.0,1073.5,1093.0,1994-11-01
119,764.0,764.0,897.0,901.0,1472.0,1549.0,1015.0,1994-12-01
120,435.0,435.0,770.0,527.0,1508.0,2293.0,810.0,1995-01-01
123,476.0,476.0,732.0,821.0,1963.0000000000002,2391.0,1298.0,1995-04-01
124,667.0,667.0,929.0,1030.9999999999998,2159.0000000000005,1850.0000000000005,1647.0,1995-05-01
125,772.7884834663625,772.7884834663625,1000.0,1126.5992014742014,2406.0,1944.0000000000002,1862.9999999999998,1995-06-01
126,571.0,571.0,874.0,996.0,2175.0,1616.0,1745.0,1995-07-01
127,641.0,641.0,900.6662303664922,1045.149732620321,2173.5,1694.5,1835.5,1995-08-01
128,690.2741935483871,690.2741935483871,934.0000000000001,1088.9086219602063,2058.125,1757.786802030457,1707.0,1995-09-01
129,920.3236074270558,920.3236074270558,1153.0,1266.1257731958763,1981.0,1822.0,1520.0,1995-10-01
130,657.0,657.0,784.0,852.0,1633.0,1359.0,1269.0,1995-11-01
131,334.0,334.0,486.0,508.0,1035.0,1053.0,811.0,1995-12-01
132,443.0,443.0,595.0,522.0,1116.0,1317.0,676.0,1996-01-01
134,418.0,418.0,696.0,658.0,1714.0,2437.0,1173.0,1996-03-01
135,749.0,749.0,922.0,939.0,1478.0,1683.0,1063.0,1996-04-01
136,510.0,510.0,764.0,836.0,1829.0,1432.0,1586.0,1996-05-01
137,572.0,572.0,705.5,756.0,1385.2343749999998,1212.5,1182.7,1996-06-01
138,656.0000000000001,656.0000000000001,916.0,1020.0,1942.0,1615.0,1623.0,1996-07-01
139,553.0,553.0,818.0,950.0,1890.9999999999998,1527.0,1651.0,1996-08-01
140,642.0,642.0,771.0,860.0,1681.0,1562.0,1250.0,1996-09-01
141,506.0,506.0,706.0,799.0,1714.0,1589.0,1315.0,1996-10-01
142,535.0,535.0,626.0,684.0,1437.9999999999998,1481.0,1021.0,1996-11-01
144,360.0,360.0,658.0,434.0,1412.0,2576.0,639.0,1997-01-01
145,433.0,433.0,725.0,636.0,1790.0,3223.0,962.0,1997-02-01
146,435.00000000000006,435.00000000000006,688.4640582347589,694.0059523809523,1826.5,2707.0,1168.9999999999998,1997-03-01
147,518.5000000000001,518.5000000000001,745.0,805.0,1867.0,1685.0,1449.5,1997-04-01
148,700.0,700.0,898.0,972.0,1880.764325323475,1949.0,1469.0,1997-05-01
149,528.0,528.0,679.0,835.0,1953.0,1486.0,1664.0,1997-06-01
151,506.99999999999994,506.99999999999994,724.0,890.0,1902.0,1540.0,1586.0,1997-08-01
152,406.0,406.0,578.4059432210134,640.0,1627.5,1625.2183580387684,1169.4995640802092,1997-09-01
153,439.25,439.25,562.0,590.5,1445.5,1398.9189682126107,1025.5,1997-10-01
155,410.0,410.0,692.0,729.0,1707.0,1341.0,1327.0,1997-12-01
157,424.0,424.0,624.0,652.0,1389.0,1679.0,931.0,1998-02-01
159,478.0,478.0,647.0,672.0,1389.0,1495.0,910.0,1998-04-01
161,464.0,464.0,734.0,744.0,1888.0000000000002,2160.9999999999995,1381.0,1998-06-01
162,536.0,536.0,785.0,797.0,1770.0,1933.0,1366.0,1998-07-01
163,487.0,487.0,714.0,791.9999999999999,1771.0000000000002,1817.0,1337.0,1998-08-01
164,516.0,516.0,702.4090909090909,768.4,1647.3337696335077,1882.8333333333333,1155.5,1998-09-01
165,440.5,440.5,602.5,668.0863746958638,1505.697747925721,1737.5,1006.9999999999999,1998-10-01
167,488.0,488.0,589.0,652.0,1764.0,1450.0,1301.0,1998-12-01
168,364.0,364.0,559.0,559.0,1524.0,1597.0,1024.0,1999-01-01
169,610.0,610.0,772.0,713.0,1715.0,2194.324942791762,1011.0,1999-02-01
170,630.5,630.5,851.0,782.0,1794.0,2440.5,1174.5,1999-03-01
171,483.0,483.0,738.0,722.196153846154,1793.0,2452.0,1195.9999999999998,1999-04-01
172,737.0,737.0,982.7255611875452,1072.5,2026.5,1941.0,1554.5,1999-05-01
173,733.0,733.0,1054.0,1120.0,2272.0,2238.0,1737.0,1999-06-01
174,658.0,658.0,894.0,1074.0,2117.0,2343.0,1524.0,1999-07-01
175,572.2988958990536,572.2988958990536,780.9507955215086,891.093646713184,1876.1666666666665,1996.9929577464793,1373.2005494505495,1999-08-01
